J0358+5413,59.7238492,9,54.2204956,9,6.394511093,3,-1.80E-13,2,4.10E-25,9,*,1
J0358+6627,59.658038,15,66.462937,6,10.92827133,2,-1.30E-15,10,*,0,*,1.884
J0401-7608,60.46563,5,-76.136931,14,1.834007009,9,-5.19E-15,4,*,0,*,1.014
J0402+4825,60.6693,4,48.432642,20,1.952383519,10,-1.05E-15,2,*,0,*,1.849
J0405+3347,61.373199,10,33.78343,3,15.6362509,4,-4.00E-17,3,*,0,*,1.655
J0406+30,61.5,0,30,0,384.615385,0,*,0,*,0,*,1.641
J0406+6138,61.6253358,9,61.6448356,3,1.681870312,2,-1.58E-14,8,*,0,*,4.2
J0407+1607,61.978912,13,16.12122,6,38.90787283,4,-1.20E-16,5,*,0,BT,1.337
J0408+551,62,0,55,0,0.544366,0,*,0,*,0,*,1.573
J0408+552,62,0,55,0,1.32626,0,*,0,*,0,*,1.661
J0410-31,62.66,14,-31.12,12,0.53234,6,*,0,*,0,*,0.415
J0413+58,63.25,0,58,0,1.455604,0,*,0,*,0,*,1.63
J0414+31,63.5,0,31,0,0.925069,0,*,0,*,0,*,1.842
J0415+6954,63.981889,15,69.902747,7,2.559409723,17,-5.02E-16,16,1.80E-27,4,*,1.367
J0417+35,64.43,7,35.75,9,1.52812,8,*,0,*,0,*,1.48
J0417+61,64.2,8,61.1,3,2.27127,7,*,0,*,0,*,1.837
J0418+6635,64.699921,10,66.590202,10,343.620798,10,-1.61E-15,10,*,0,*,2.205
J0418-4154,64.5157283,17,-41.904006,17,1.32079643,2,-2.30E-15,6,*,0,*,2.519
J0419+44,64.75,0,44,0,0.805802,0,*,0,*,0,*,1.687
J0421+3255,65.3883,9,32.931,3,1.110981477,13,-7.40E-17,25,*,0,*,1.939
J0421-0345,65.38982,7,-3.75184,17,0.462682677,3,-2.49E-16,3,1.90E-27,10,*,2.197
J0426+4933,66.528387,5,49.560683,12,1.084040535,3,-4.62E-14,3,*,0,*,1.795
J0435+2749,68.965908,17,27.81714,12,3.064857408,13,-7.67E-17,10,*,0,*,1.521
J0437-4715,69.31623406,3,-47.25253075,20,173.6879458,5,-1.73E-15,5,*,0,T2,0.157
J0447+2447,71.7826632,3,24.7973039,14,333.8583422,9,-8.91E-16,9,*,0,*,0.925
