207,J1023-5746,J1023-5746,6,58202,17,2729,1,5.2,0.03,Gügercinoğlu+22 [ggyz22]
208,J1023-5746,J1023-5746,7,58823,8,1681,0.4,6.77,0.09,Gügercinoğlu+22 [ggyz22]
209,J1028-5819,J1028-5819,1,57881,14,2296.5,0.5,35,1,Lower+2021 [ljd+21]
210,B1046-58,J1048-5832,1,48944,2,19,2,0.3,0.1,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]"
211,B1046-58,J1048-5832,2,49034,9,3000,10,3.7,0.1,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]"
212,B1046-58,J1048-5832,3,50791.49,5,768,1,14,5,"Urama (2002) [ura02], also in Yu+2012 [ymh+12]"
213,B1046-58,J1048-5832,4,52733,37,1838.4,9,3.7,0.3,Yu+2012 [ymh+12]
214,B1046-58,J1048-5832,5,53673,0.8,28.5,0.4,0.2,0.1,Yu+2012 [ymh+12]
215,B1046-58,J1048-5832,6,54495,10,3043.1,0.2,4.77,0.02,"Weltevrede+2010 [wjm+10], also in Yu+2012 [ymh+12] and Lower+2021 [ljd+21]"
216,B1046-58,J1048-5832,7,56756,4,2963,4,9,9,Lower+2021 [ljd+21]
217,B1046-58,J1048-5832,8,59203.9,0.5,8.89,0.09,X,X,Zubieta+2023 [zmf+23]
218,B1046-58,J1048-5832,9,59540,2,9.9,0.3,X,X,Zubieta+2023 [zmf+23]
219,1E_1048.1-5937,J1048-5937,1,52386,2,2900,100,76,4,Dib+2008 [dkg08b]
220,1E_1048.1-5937,J1048-5937,2,54185.9,1,16300,200,-111,74,Dib+2008 [dkg08b]
221,J1052-5954,J1052-5954,1,54526,22,6747.8,0.7,14.1,0.4,"Weltevrede+2010 [wjm+10], also in Yu+2012 [ymh+12]"
222,J1055-6028,J1055-6028,1,57035,10,105.7,0.6,1.3,0.3,Lower+2021 [ljd+21]
223,J1105-6107,J1105-6107,1,50417,16,279.7,0.2,4.63,0.04,"Wang+2000 [wmp+00], also in Yu+2012 [ymh+12]"
224,J1105-6107,J1105-6107,2,50610,3,2,3,0.19,0.01,Wang+2000 [wmp+00]
